source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
1142768796,QC,req,LES HABITATIONS ST-MARC DE VERCHÈRES INC.,,215 rue des Prés,J0L2E0,Saint-Marc-sur-Richelieu,APE,non_charity_nonprofit,,,64.28571428571428,,,,,,needs_review,359299,Habitations le repère,77.27272727272727,76.59574468085107,1,24160.0,mid_band_score,,,
1142731737,QC,req,ASSOCIATION DU HOCKEY MINEUR DE SOULANGES,,100 rue des Loisirs,J0P1X0,Saint-Polycarpe,APE,non_charity_nonprofit,,,63.41463414634146,,,,,,needs_review,354640,ASSOCIATION DU HOCKEY MINEUR DE CAP-ROUGE/ST-AUGUSTIN INC.,78.26086956521739,51.06382978723405,1,1000.0,mid_band_score,,,
1142757898,QC,req,L'ACADÉMIE CENTENNIAL,Académie Centennial; CENTENNIAL COLLEGE; COLLEGE CENTENNALE,2075 RUE Sherbrooke O,H3H1G6,Montreal,APE,non_charity_nonprofit,,,71.42857142857143,,,,,,needs_review,139552,L'Académie du cinéma,76.47058823529412,61.53846153846154,11,250426.0,mid_band_score,,,
1142769273,QC,req,Les Éleveurs de porcs de la Beauce & des Deux Rives,Syndicat des producteurs de porcs de la Région de Québec; Les Éleveurs de porcs de la Beauce; Association professionnelle des producteurs de porcs de la Beauce; Les Éleveurs de porcs des Deux Rives,1135 boul. Vachon N,G6E1M9,Sainte-Marie,APE,non_charity_nonprofit,,,53.333333333333336,,,,,,needs_review,143555,Les Éleveurs de porcs du Québec,80.0,63.41463414634146,3,386910.0,mid_band_score,,,
1142744458,QC,req,CLUB DE L'AGE D'OR DE ST-DAMASE-DE-L'ISLET INC.,,202 Route 204,G0R2X0,Saint-Damase-de-L'Islet,APE,non_charity_nonprofit,,,48.0,,,,,,needs_review,246185,Club de l'âge d'or de Saint-Damase,81.25,80.0,2,7199.0,mid_band_score,,,
1142733519,QC,req,CENTRE DE LA PETITE ENFANCE L'ENFANTILLAGE INC.,RIBAMBELLE ET CASCATELLE; PLEIN SOLEIL; MARGUERITES ET LUTINS; LUCIOLES ET TOURNESOLS,420 rue Merrill,J1A1X5,Coaticook,APE,non_charity_nonprofit,,,39.21568627450981,,,,,,needs_review,266397,Centre de la Petite enfance Grain de soleil,75.0,64.0,2,6864.0,mid_band_score,,,
1142760371,QC,req,LE MUSÉE PAUL AUMAIS INC.,MUSÉE DE LA FERME,591 CH. Ste-Claire,J0P1R0,"Rivière-Beaudette,",APE,non_charity_nonprofit,,,51.61290322580645,,,,,,needs_review,127817,MUSÉE DE LA MER INC.,80.0,72.72727272727273,2,545632.0,mid_band_score,,,
1143244573,QC,req,"LEGION ROYALE CANADIENNE SUCC 23, BROME",LÉGION ROYALE CANADIENNE SUCC 23 BROME,"270, VICTORIA, C.P.3666",J0E1V0,LAC-BROME,APE,non_charity_nonprofit,,,64.51612903225806,,,,,,needs_review,324489,Légion royale canadienne Succ.34 P.E.I,88.57142857142857,87.32394366197182,1,50000.0,mid_band_score,,,
1143257195,QC,req,ASSOCIATION DES BIBLIOTHÈQUES PUBLIQUES DE LA MONTÉRÉGIE,ASSOCIATION DES BIBLIOTHÈQUES PUBLIQUES DE LA MONTÉRÉGIE,25 boul. Maple,J6J3P7,Châteauguay,APE,non_charity_nonprofit,,,48.38709677419355,,,,,,needs_review,196971,ASSOCIATION DES BIBLIOTHÈQUES PUBLIQUES DU QUÉBEC,80.70175438596492,52.3076923076923,3,8143.0,mid_band_score,,,
1143257443,QC,req,FONDATION DE Y.M. - Y.W.H.A.,FONDATION DU Y.M.-Y.W.H.A.,5400 av. de Westbury,H3W2W8,Montréal,APE,non_charity_nonprofit,,,46.15384615384615,,,,,,needs_review,,,,,,,no_blocking_key,,,
1143246404,QC,req,CLUB D'HALTEROPHILIE DOLBEAU-MISTASSINI INC,Club d'Haltérophilie DOMINOR,1885 RUE MÉLÈZES,G8L2E5,DOLBEAU-MISTASSINI,APE,non_charity_nonprofit,,,25.0,,,,,,needs_review,262209,Club d'haltérophilie de Montréal,76.47058823529412,61.01694915254237,2,8920.0,mid_band_score,,,
