source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
1142769836,QC,req,LA FABRIQUE DE LA PAROISSE DE SAINT-FRANCOIS,,534 ch. Saint-François O,,Saint-François-de-la-Rivière-du-Sud,APE,needs_review,,,,,,,,,,,,,,,,no_blocking_key,,,
1142735415,QC,req,INTRO DRUMMONDVILLE INC.,Intro Drummondville; Intro DMV; Intro DR'VILLE,142 rue Heriot,J2C1J8,Drummondville,APE,needs_review,764730537,Centre Renaître de Drummondville,82.92682926829268,76.19047619047619,fuzzy,,,,,,,,,,,mid_band_score,,,
1143257138,QC,req,CALACS DES RIVIÈRES Haute-Yamaska Brome-Missisquoi,,,,,APE,needs_review,,,,,,,,,,,,,,,,no_blocking_key,,,
1143214329,QC,req,EDITIONS COMMUNAUTAIRES DES CHENAUX,Le bulletin de Mékinac; LE BULLETIN DES CHENAUX; LE GRAPHEUR,44 rang de la Rivière-à-Veillet,G0X2R0,Sainte-Geneviève-de-Batiscan,APE,needs_review,118925627,FONDS COMMUNAUTAIRES DES CHENAUX,83.01886792452831,51.42857142857142,fuzzy,,,,,,,,,,,mid_band_score,,,
1143203850,QC,req,"P.R.I.S.E. II (PROGRAMME EDUCATIF DE REVALORISATION INDIVIDUELLE, SOCIALE) INC.",ESPACE PRO,204-10794 rue Lajeunesse,H3L2E8,Montréal,APE,needs_review,131308777,P R I S E II (PROGRAMME EDUCATIF DE REVALORISATION INDIVIDUE,89.32038834951457,37.28813559322034,fuzzy,,,,,,,,,,,mid_band_score,,,
1143184308,QC,req,FONDS CLAUDE CÔTÉ,,2021 ch. Royal,,Sainte-Famille-de-l'Île-d'Orléans,APE,needs_review,,,,,,,,,,,,,,,,no_blocking_key,,,
1143217553,QC,req,LA ROSE DES VENTS DE DRUMMOND INC.,,,,,APE,needs_review,,,,,,,,,,,,,,,,no_blocking_key,,,
1144137057,QC,req,MAISON DE LA FAMILLE VAUDREUIL-SOULANGES,,15 rue Louise-Josephte,J7V6Y9,Vaudreuil-Dorion,APE,needs_review,893751123,ARC-EN-CIEL (VAUDREUIL-SOULANGES),83.63636363636364,82.6086956521739,fuzzy,,,,,,,,,,,mid_band_score,,,
1144137313,QC,req,LE BEL AGE DE SAINTE-AGATHE- DES-MONTS,Club FADOQ Le Bel Âge de Sainte-Agathe-des-Monts,8 rue Albert-Bergeron,J8C2L5,Sainte-Agathe-des-Monts,APE,needs_review,889966263,Banque alimentaire de Sainte-Agathe-des-Monts,76.92307692307692,72.34042553191489,fuzzy,,,,,,,,,,,mid_band_score,,,
1144137495,QC,req,LE CLUB LES ARCHERS DE RIMOUSKI INC.,,350 boul. Arthur-Buies O,G5L5C7,Rimouski,APE,needs_review,867293912,LE CHOEUR DE RIMOUSKI INC.,83.87096774193549,76.92307692307692,fuzzy,,,,,,,,,,,mid_band_score,,,
